	Рейтинг	Компания	Кол-во фильмов	Box office	Кол-во билетов	Процент от общего кол-ва	Год
0	1	Walt Disney	38	$1,012,034,105	232,651,499	19.04%	1995
1	2	Warner Bros.	31	$866,884,482	199,283,775	16.31%	1995
2	3	Sony Pictures	31	$682,169,140	156,820,477	12.84%	1995
3	4	Universal	21	$666,656,425	153,254,338	12.54%	1995
4	5	Paramount Pictures	21	$529,884,404	121,812,497	9.97%	1995
5	6	20th Century Fox	15	$410,787,635	94,433,933	7.73%	1995
6	7	MGM	19	$333,155,248	76,587,403	6.27%	1995
7	8	New Line	16	$331,897,897	76,298,359	6.25%	1995
8	9	Miramax	38	$186,292,656	42,825,880	3.51%	1995
9	10	Savoy	9	$65,459,506	15,048,158	1.23%	1995
10	11	IMAX Films	1	$64,800,000	14,896,551	1.22%	1995
11	12	Gramercy	15	$59,488,898	13,675,600	1.12%	1995
12	13	Sony Pictures Classics	14	$21,750,572	5,000,124	0.41%	1995
13	14	Goldwyn Entertainment	8	$20,993,601	4,826,112	0.40%	1995
14	15	Fine Line	11	$16,077,262	3,695,915	0.30%	1995
15	16	Fox Searchlight	1	$10,426,506	2,396,897	0.20%	1995
16	17	Shining Excalibur	1	$7,412,216	1,703,957	0.14%	1995
17	18	First Look	2	$6,574,185	1,511,306	0.12%	1995
18	19	October Films	5	$5,191,751	1,193,504	0.10%	1995
19	20	Orion Classics	3	$3,984,025	915,867	0.07%	1995
20	21	Sony/TriStar	2	$2,943,534	676,674	0.06%	1995
21	22	Orion Pictures	1	$2,471,351	568,126	0.05%	1995
22	23	Trimark	4	$2,061,565	473,922	0.04%	1995
23	24	Warren Miller Entertainment	1	$1,966,454	452,058	0.04%	1995
24	25	Strand	3	$872,106	200,483	0.02%	1995
25	26	New Yorker	1	$494,095	113,585	0.01%	1995
26	27	Arrow Releasing	1	$399,748	91,896	0.01%	1995
27	28	Penland	1	$381,000	87,586	0.01%	1995
28	29	Cinepix Film Properties	2	$202,974	46,660	0.00%	1995
29	30	Interfilm	1	$144,961	33,324	0.00%	1995
30	31	Rainbow Releasing	1	$138,528	31,845	0.00%	1995
31	32	IRS Releasing	2	$121,777	27,994	0.00%	1995
32	33	ISA Releasing	1	$107,528	24,719	0.00%	1995
33	34	Group 1	1	$57,595	13,240	0.00%	1995
34	35	Columbia	1	$41,628	9,569	0.00%	1995
35	36	Kino International	1	$5,490	1,262	0.00%	1995
36	37	Castle Hill Productions	1	$5,000	1,149	0.00%	1995
37	1	Walt Disney	37	$1,197,737,813	270,981,385	20.76%	1996
38	2	Warner Bros.	29	$909,761,563	205,828,394	15.77%	1996
39	3	Paramount Pictures	24	$740,924,146	167,629,885	12.84%	1996
40	4	20th Century Fox	15	$730,976,224	165,379,228	12.67%	1996
41	5	Sony Pictures	39	$613,455,899	138,790,908	10.63%	1996
42	6	Universal	18	$482,379,703	109,135,672	8.36%	1996
43	7	New Line	20	$297,962,883	67,412,408	5.17%	1996
44	8	MGM	19	$292,208,554	66,110,524	5.07%	1996
45	9	Miramax	40	$243,647,983	55,123,957	4.22%	1996
46	10	Gramercy	14	$83,450,697	18,880,240	1.45%	1996
47	11	Sony Pictures Classics	17	$40,200,823	9,095,201	0.70%	1996
48	12	Orion Pictures	5	$35,023,932	7,923,964	0.61%	1996
49	13	Miramax/Dimension	1	$25,728,961	5,821,031	0.45%	1996
50	14	Fox Searchlight	4	$19,043,456	4,308,473	0.33%	1996
51	15	Goldwyn Entertainment	7	$15,985,241	3,616,567	0.28%	1996
52	16	October Films	9	$10,776,486	2,438,114	0.19%	1996
53	17	Fine Line	7	$9,076,896	2,053,595	0.16%	1996
54	18	First Look	4	$4,545,458	1,028,382	0.08%	1996
55	19	BET Pictures	1	$2,291,255	518,383	0.04%	1996
56	20	Warren Miller Entertainment	1	$2,035,470	460,513	0.04%	1996
